error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,234.14299964904785,-1.0,-1.0,-9999.0,-9999,407.7155456542969,351.0,362.0,-9999.0,-9999.0,0,11,0,351.21,35.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,234.2859935760498,-1.0,-1.0,-9999.0,-9999,293.0801696777344,351.0,362.0,-9999.0,-9999.0,11,11,0,352.21,7.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,234.4290018081665,-1.0,-1.0,-9999.0,-9999,139.20355224609375,351.0,362.0,-9999.0,-9999.0,22,11,0,353.21,13.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,234.57199573516846,-1.0,-1.0,-9999.0,-9999,282.267822265625,351.0,362.0,-9999.0,-9999.0,33,11,0,354.21,11.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,234.71500396728516,-1.0,-1.0,-9999.0,-9999,267.21990966796875,351.0,362.0,-9999.0,-9999.0,44,11,0,355.21,12.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,234.8579978942871,-1.0,-1.0,-9999.0,-9999,210.47955322265625,351.0,362.0,-9999.0,-9999.0,55,11,0,356.21,28.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,235.0010061264038,-1.0,-1.0,-9999.0,-9999,224.63027954101562,351.0,362.0,-9999.0,-9999.0,66,11,0,357.21,37.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.14700412750244,-1.0,-1.0,-9999.0,-9999,262.20733642578125,351.0,362.0,-9999.0,-9999.0,77,11,0,358.21,142.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.2899980545044,-1.0,-1.0,-9999.0,-9999,173.27728271484375,351.0,362.0,-9999.0,-9999.0,88,11,0,359.21,0.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.4330062866211,-1.0,-1.0,-9999.0,-9999,192.06581115722656,351.0,362.0,-9999.0,-9999.0,99,11,0,360.21,27.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
