error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,342.14301109313965,-1.0,-1.0,-9999.0,-9999,260.5064392089844,335.0,346.0,-9999.0,-9999.0,0,11,0,335.21,13.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,342.2860050201416,-1.0,-1.0,-9999.0,-9999,829.1107177734375,335.0,346.0,-9999.0,-9999.0,11,11,0,336.21,45.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,342.42899894714355,-1.0,-1.0,-9999.0,-9999,205.1026611328125,335.0,346.0,-9999.0,-9999.0,22,11,0,337.21,11.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,342.5719928741455,-1.0,-1.0,-9999.0,-9999,185.2887725830078,335.0,346.0,-9999.0,-9999.0,33,11,0,338.21,42.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,342.71498680114746,-1.0,-1.0,-9999.0,-9999,158.65142822265625,335.0,346.0,-9999.0,-9999.0,44,11,0,339.21,38.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,342.8580093383789,-1.0,-1.0,-9999.0,-9999,204.71249389648438,335.0,346.0,-9999.0,-9999.0,55,11,0,340.21,6.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,343.00100326538086,-1.0,-1.0,-9999.0,-9999,774.29931640625,335.0,346.0,-9999.0,-9999.0,66,11,0,341.21,35.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.1480026245117,-1.0,-1.0,-9999.0,-9999,660.538330078125,335.0,346.0,-9999.0,-9999.0,77,11,0,342.21,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.2909965515137,-1.0,-1.0,-9999.0,-9999,574.1002197265625,335.0,346.0,-9999.0,-9999.0,88,11,0,343.21,36.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.4329891204834,-1.0,-1.0,-9999.0,-9999,414.1112365722656,335.0,346.0,-9999.0,-9999.0,99,11,0,344.21,20.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,343.57601165771484,-1.0,-1.0,-9999.0,-9999,244.23826599121094,335.0,346.0,-9999.0,-9999.0,110,11,0,345.21,10.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
